# specify 1 map per line, mapname|factoryid
# ex: aerowalk|ffa
# see factories.txt for valid factory id values
almostlost|turboca
asylum|turboca
blackcathedral|turboca
brimstoneabbey|turboca
campgrounds|turboca
cannedheat|turboca
castledeathstalker|turboca
chemicalreaction|turboca
cliffside|turboca
coldwar|turboca
deathorglory|turboca
deadandgone|turboca
deepinside|turboca
demonkeep|turboca
devilish|turboca
dreadfulplace|turboca
drunkenmummy|turboca
electrichead|turboca
eviscerated|turboca
evolution|turboca
eyetoeye|turboca
foolishlegacy|turboca
grimdungeons|turboca
hearth|turboca
hellsgate|turboca
henhouse|turboca
heroskeep|turboca
hiddenfortress|turboca
intervention|turboca
leftbehind|turboca
leviathan|turboca
midlifecrisis|turboca
monastery|turboca
overkill|turboca
purgatory|turboca
quarantine|turboca
realmofsteelrats|turboca
repent|turboca
retribution|turboca
revolver|turboca
seamsandbolts|turboca
servitude|turboca
shakennotstirred|turboca
smash|turboca
solid|turboca
somewhatdamaged|turboca
spacechamber|turboca
terminatria|turboca
theatreofpain|turboca
theedge|turboca
theoldendomain|turboca
threestory|turboca
thunderstruck|turboca
tornado|turboca
trinity|turboca
warehouse|turboca
wargrounds|turboca
windowpain|turboca
windsongkeep|turboca
